,Adipose-InsulinGenes,Adipose-InsulinCorr,Liver-InsulinGenes,Liver-InsulinCorr,Muscle-InsulinGenes,Muscle-InsulinCorr,Intestine-InsulinGenes,Intestine-InsulinCorr,Hypothalamus-InsulinGenes,Hypothalamus-InsulinCorr
91,C2,-0.5818341536478262,Prr14,-0.49929160824510177,Lypd2,0.3269175192246018,Zhx2,-0.2898699267429064,Wdr12,-0.3155953297994411
92,Emr1,0.581806065398595,BC029722,0.49891375689634104,Serpina1d,0.3266999368939987,Msra,-0.28914298767115587,Tma7,0.3152940858056198
93,Dcaf8,-0.5810085004302393,1300017J02Rik,-0.49802964998470206,LOC100046690,-0.3266423219810807,Ctxn1,-0.28907540057234654,Spata1,-0.3150937285924868
94,Cxcl16,0.5808113407440599,Zfp275,-0.4979081241813558,Micall2,0.3256103119725808,Cenpa,0.2887373652835311,Usp4,-0.31503983698646854
95,Csk,0.5806714298677231,Fam19a5,0.49786607803214444,B3galnt1,0.32529089073695516,BC016423,0.2875070107923456,Pop4,0.3137167170463692
96,Glipr1,0.5802460406095385,Trip13,0.4965999521003417,Ccl9,0.3252743203015073,Irak2,-0.28673152521971873,"Hist2h2bb,Hist2h3b,Hist2h3c2",-0.3136468982117785
97,Spred1,0.579345490455813,Bmyc,0.4959459326153121,Arvcf,-0.3233047679793621,Nin,0.2866404174826584,Rhoc,0.31358182106160387
98,2510002D24Rik,-0.5793411926283005,Sema5b,0.495897130368721,1810007P19Rik,-0.3228600724889933,Snrpd2,0.28653222926059846,Tyms,-0.3131636828250849
99,Rab31,0.5788107663456934,C2,-0.4951718299149782,Krt24,-0.32248992620061717,Os9,-0.28628700209072633,Actb,-0.3124389485618883
100,Bphl,-0.5776727640914411,Tsku,0.4949916967964663,EG624866,-0.3224334740511253,Creb3l2,-0.2862736981257614,"Erlin2,Prosc",-0.31219944812250733
101,Slc44a3,-0.5776623026576831,Gga2,0.4935238258620057,Nckap1l,0.32225484850044145,Map3k6,-0.28625615824490236,Selrc1,0.3117045689973855
102,Frmd8,0.577559602034399,Cidec,0.49258338092384407,Tyrobp,0.32179491323490156,Bcs1l,0.28603529819057044,9530059O14Rik,0.31137089672690127
